Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Butte,380,COLORADO,10160,38.89433,-106.953
Camp Jackson,383,UTAH,8858,37.81333,-109.48723
Canyon,384,WYOMING,7870,44.71961,-110.51084
Carrot Basin,385,MONTANA,9000,44.96192,-111.29403
Carson Pass,1067,CALIFORNIA,8360,38.6927,-120.0022
Cascade,386,COLORADO,8880,37.65083,-107.80602
Cascade #2,387,COLORADO,8920,37.658,-107.80268
Cascade Mountain,1039,UTAH,7774,40.283,-111.60992
Casper Mtn.,389,WYOMING,7900,42.73389,-106.31861
Castle Creek,1130,WYOMING,8400,43.6748,-109.3774
Castle Valley,390,UTAH,9607,37.66098,-112.74093
Cave Mountain,1152,NEVADA,10578,39.16337,-114.6133
Cedar Pass,391,CALIFORNIA,7030,41.58233,-120.3025
Chalender,1139,ARIZONA,7100,35.26247,-112.06231
Chalk Creek #1,392,UTAH,9171,40.85464,-111.04765
Chalk Creek #2,393,UTAH,8208,40.88529,-111.06954
Chamita,394,NEW MEXICO,8400,36.95636,-106.65682
Chapman Tunnel,1101,COLORADO,10110,39.26217,-106.62931
Chepeta,396,UTAH,10499,40.77458,-110.0105
Cinnabar Park,1046,WYOMING,9574,41.23837,-106.23095
Clayton Springs,983,UTAH,10049,37.9725,-111.83355
Clear Creek #1,399,UTAH,8975,39.86671,-111.28363
Clear Creek #2,400,UTAH,7837,39.89275,-111.25154
Cloud Peak Reservoir,402,WYOMING,9860,44.40343,-107.06057
Clover Meadow,403,MONTANA,8600,45.01788,-111.8456
Cochetopa Pass,1059,COLORADO,10020,38.16283,-106.59883
Cold Springs,405,WYOMING,9630,43.27676,-109.44585
Cole Creek,407,MONTANA,7850,45.19405,-109.34548
Columbine,408,COLORADO,9160,40.3948,-106.60408
Columbine Pass,409,COLORADO,9400,38.41795,-108.38249
Columbus Basin,904,COLORADO,10785,37.44147,-108.02445
Copeland Lake,412,COLORADO,8600,40.20778,-105.56861
Copper Mountain,415,COLORADO,10550,39.48954,-106.17095
Coronado Trail,416,ARIZONA,8400,33.80392,-109.15282
Corral,1236,UTAH,8207,39.65795,-110.37906
Corral Canyon,417,NEVADA,8445,40.27551,-115.54017
Cottonwood Creek,419,WYOMING,7670,42.6459,-110.81482
Crosho,426,COLORADO,9100,40.16745,-107.0575
Crow Creek,1045,WYOMING,8330,41.2287,-105.38278
Culebra #2,430,COLORADO,10500,37.20945,-105.19959
Cumbres Trestle,431,COLORADO,10040,37.01878,-106.45179
Currant Creek,432,UTAH,7915,40.35747,-111.08993
Daisy Peak,919,MONTANA,7600,46.66858,-110.33022
Daniels-Strawberry,435,UTAH,8008,40.2953,-111.25677
Darkhorse Lake,436,MONTANA,8945,45.17367,-113.58448
Deadman Hill,438,COLORADO,10220,40.80571,-105.76993
Deer Park,923,WYOMING,9700,42.59076,-108.90273
Diamond Peak,443,NEVADA,8017,39.56361,-115.84421
Dills Camp,444,UTAH,9228,39.04554,-111.46875
Dismal Swamp,446,CALIFORNIA,7360,41.99127,-120.18033
Divide,448,MONTANA,7800,44.79317,-112.05645
Divide Peak,449,WYOMING,8880,41.30398,-107.15241
Dollarhide Summit,450,IDAHO,8420,43.6025,-114.67417
